Time (s),Speed (m/s)
10.12,9.8635
10.14,9.8832
10.16,9.9028
10.18,9.9225
10.2,9.9422
10.22,9.9618
10.24,9.9815
10.26,10.0012
10.28,10.0208
10.3,10.0405
10.32,10.0602
10.34,10.0799
10.36,10.0995
10.38,10.1192
10.4,10.1389
10.42,10.1585
10.44,10.1782
10.46,10.1979
10.48,10.2175
10.5,10.2372
10.52,10.2569
10.54,10.2766
10.56,10.2962
10.58,10.3159
10.6,10.3356
10.62,10.3552
10.64,10.3749
10.66,10.3946
10.68,10.4142
10.7,10.4339
10.72,10.4536
10.74,10.4733
10.76,10.4929
10.78,10.5126
10.8,10.5323
10.82,10.5519
10.84,10.5716
10.86,10.5913
10.88,10.6109
10.9,10.6306
10.92,10.6503
10.94,10.67
10.96,10.6896
10.98,10.7093
11,10.729
11.02,10.7451
11.04,10.7611
11.06,10.7772
11.08,10.7933
11.1,10.8094
11.12,10.8255
11.14,10.8416
11.16,10.8577
11.18,10.8738
11.2,10.8899
11.22,10.906
11.24,10.9221
11.26,10.9382
11.28,10.9543
11.3,10.9704
11.32,10.9865
11.34,11.0025
11.36,11.0186
11.38,11.0347
11.4,11.0508
11.42,11.0669
11.44,11.083
11.46,11.0991
11.48,11.1152
11.5,11.1313
11.52,11.1474
11.54,11.1635
11.56,11.1796
11.58,11.1957
11.6,11.2118
11.62,11.2279
11.64,11.244
11.66,11.26
11.68,11.2761
11.7,11.2922
11.72,11.3083
11.74,11.3244
11.76,11.3405
11.78,11.3566
11.8,11.3727
11.82,11.3888
11.84,11.4049
11.86,11.421
11.88,11.4371
11.9,11.4532
11.92,11.4693
11.94,11.4854
11.96,11.5014
11.98,11.5175
12,11.5336
12.02,11.5453
12.04,11.5569
12.06,11.5685
12.08,11.5801
12.1,11.5917
12.12,11.6034
12.14,11.615
12.16,11.6266
12.18,11.6382
12.2,11.6499
12.22,11.6615
12.24,11.6731
12.26,11.6847
12.28,11.6964
12.3,11.708
12.32,11.7196
12.34,11.7312
12.36,11.7428
12.38,11.7545
12.4,11.7661
12.42,11.7777
12.44,11.7893
12.46,11.801
12.48,11.8126
12.5,11.8242
12.52,11.8358
12.54,11.8475
12.56,11.8591
12.58,11.8707
12.6,11.8823
12.62,11.8939
12.64,11.9056
12.66,11.9172
12.68,11.9288
12.7,11.9404
12.72,11.9521
12.74,11.9637
12.76,11.9753
12.78,11.9869
12.8,11.9986
12.82,12.0102
12.84,12.0218
12.86,12.0334
12.88,12.045
12.9,12.0567
12.92,12.0683
12.94,12.0799
12.96,12.0915
12.98,12.1032
13,12.1148
13.02,12.1228
13.04,12.1309
13.06,12.1389
13.08,12.147
13.1,12.155
13.12,12.1631
13.14,12.1711
13.16,12.1792
13.18,12.1872
13.2,12.1953
13.22,12.2033
13.24,12.2113
13.26,12.2194
13.28,12.2274
13.3,12.2355
13.32,12.2435
13.34,12.2516
13.36,12.2596
13.38,12.2677
13.4,12.2757
13.42,12.2838
13.44,12.2918
13.46,12.2999
13.48,12.3079
13.5,12.316
13.52,12.324
13.54,12.332
13.56,12.3401
13.58,12.3481
13.6,12.3562
13.62,12.3642
13.64,12.3723
13.66,12.3803
13.68,12.3884
13.7,12.3964
13.72,12.4045
13.74,12.4125
13.76,12.4206
13.78,12.4286
13.8,12.4367
13.82,12.4447
13.84,12.4527
13.86,12.4608
13.88,12.4688
13.9,12.4769
13.92,12.4849
13.94,12.493
13.96,12.501
13.98,12.5091
14,12.5171
14.02,12.5261
14.04,12.535
14.06,12.5439
14.08,12.5529
14.1,12.5618
14.12,12.5708
14.14,12.5797
14.16,12.5886
14.18,12.5976
14.2,12.6065
14.22,12.6155
14.24,12.6244
14.26,12.6334
14.28,12.6423
14.3,12.6512
14.32,12.6602
14.34,12.6691
14.36,12.6781
14.38,12.687
14.4,12.6959
14.42,12.7049
14.44,12.7138
14.46,12.7228
14.48,12.7317
14.5,12.7406
14.52,12.7496
14.54,12.7585
14.56,12.7675
14.58,12.7764
14.6,12.7853
14.62,12.7943
14.64,12.8032
14.66,12.8122
14.68,12.8211
14.7,12.83
14.72,12.839
14.74,12.8479
14.76,12.8569
14.78,12.8658
14.8,12.8748
14.82,12.8837
14.84,12.8926
14.86,12.9016
14.88,12.9105
14.9,12.9195
14.92,12.9284
14.94,12.9373
14.96,12.9463
14.98,12.9552
15,12.9642
15.02,12.9731
15.04,12.982
15.06,12.991
15.08,12.9999
15.1,13.0089
15.12,13.0178
15.14,13.0267
15.16,13.0357
15.18,13.0446
15.2,13.0536
15.22,13.0625
15.24,13.0714
15.26,13.0804
15.28,13.0893
15.3,13.0983
15.32,13.1072
15.34,13.1162
15.36,13.1251
15.38,13.134
15.4,13.143
15.42,13.1519
15.44,13.1609
15.46,13.1698
15.48,13.1787
15.5,13.1877
15.52,13.1966
15.54,13.2056
15.56,13.2145
15.58,13.2234
15.6,13.2324
15.62,13.2413
15.64,13.2503
15.66,13.2592
15.68,13.2681
15.7,13.2771
15.72,13.286
15.74,13.295
15.76,13.3039
15.78,13.3129
15.8,13.3218
15.82,13.3307
15.84,13.3397
15.86,13.3486
15.88,13.3576
15.9,13.3665
15.92,13.3754
15.94,13.3844
15.96,13.3933
15.98,13.4023
16,13.4112
16.02,13.4175
16.04,13.4237
16.06,13.43
16.08,13.4362
16.1,13.4425
16.12,13.4488
16.14,13.455
16.16,13.4613
16.18,13.4675
16.2,13.4738
16.22,13.48
16.24,13.4863
16.26,13.4926
16.28,13.4988
16.3,13.5051
16.32,13.5113
16.34,13.5176
16.36,13.5239
16.38,13.5301
16.4,13.5364
16.42,13.5426
16.44,13.5489
16.46,13.5551
16.48,13.5614
16.5,13.5677
16.52,13.5739
16.54,13.5802
16.56,13.5864
16.58,13.5927
16.6,13.599
16.62,13.6052
16.64,13.6115
16.66,13.6177
16.68,13.624
16.7,13.6302
16.72,13.6365
16.74,13.6428
16.76,13.649
16.78,13.6553
16.8,13.6615
16.82,13.6678
16.84,13.6741
16.86,13.6803
16.88,13.6866
16.9,13.6928
16.92,13.6991
16.94,13.7054
16.96,13.7116
16.98,13.7179
17,13.7241
17.02,13.7313
17.04,13.7384
17.06,13.7456
17.08,13.7527
17.1,13.7599
17.12,13.767
17.14,13.7742
17.16,13.7813
17.18,13.7885
17.2,13.7957
17.22,13.8028
17.24,13.81
17.26,13.8171
17.28,13.8243
17.3,13.8314
17.32,13.8386
17.34,13.8457
17.36,13.8529
17.38,13.86
17.4,13.8672
17.42,13.8743
17.44,13.8815
17.46,13.8886
17.48,13.8958
17.5,13.9029
17.52,13.9101
17.54,13.9172
17.56,13.9244
17.58,13.9316
17.6,13.9387
17.62,13.9459
17.64,13.953
17.66,13.9602
17.68,13.9673
17.7,13.9745
17.72,13.9816
17.74,13.9888
17.76,13.9959
17.78,14.0031
17.8,14.0102
17.82,14.0174
17.84,14.0245
17.86,14.0317
17.88,14.0388
17.9,14.046
17.92,14.0531
17.94,14.0603
17.96,14.0675
17.98,14.0746
18,14.0818
18.02,14.088
18.04,14.0943
18.06,14.1005
18.08,14.1068
18.1,14.1131
18.12,14.1193
18.14,14.1256
18.16,14.1318
18.18,14.1381
18.2,14.1443
18.22,14.1506
18.24,14.1569
18.26,14.1631
18.28,14.1694
18.3,14.1756
18.32,14.1819
18.34,14.1882
18.36,14.1944
18.38,14.2007
18.4,14.2069
18.42,14.2132
18.44,14.2194
18.46,14.2257
18.48,14.232
18.5,14.2382
18.52,14.2445
18.54,14.2507
18.56,14.257
18.58,14.2633
18.6,14.2695
18.62,14.2758
18.64,14.282
18.66,14.2883
18.68,14.2946
18.7,14.3008
18.72,14.3071
18.74,14.3133
18.76,14.3196
18.78,14.3258
18.8,14.3321
18.82,14.3384
18.84,14.3446
18.86,14.3509
18.88,14.3571
18.9,14.3634
18.92,14.3697
18.94,14.3759
18.96,14.3822
18.98,14.3884
19,14.3947
19.02,14.4009
19.04,14.4072
19.06,14.4135
19.08,14.4197
19.1,14.426
19.12,14.4322
19.14,14.4385
19.16,14.4448
19.18,14.451
19.2,14.4573
19.22,14.4635
19.24,14.4698
19.26,14.476
19.28,14.4823
19.3,14.4886
19.32,14.4948
19.34,14.5011
19.36,14.5073
19.38,14.5136
19.4,14.5199
19.42,14.5261
19.44,14.5324
19.46,14.5386
19.48,14.5449
19.5,14.5512
19.52,14.5574
19.54,14.5637
19.56,14.5699
19.58,14.5762
19.6,14.5824
19.62,14.5887
19.64,14.595
19.66,14.6012
19.68,14.6075
19.7,14.6137
19.72,14.62
19.74,14.6263
19.76,14.6325
19.78,14.6388
19.8,14.645
19.82,14.6513
19.84,14.6575
19.86,14.6638
19.88,14.6701
19.9,14.6763
19.92,14.6826
19.94,14.6888
19.96,14.6951
19.98,14.7014
20,14.7076
20.02,14.713
20.04,14.7183
20.06,14.7237
20.08,14.7291
20.1,14.7344
20.12,14.7398
20.14,14.7452
20.16,14.7505
20.18,14.7559
20.2,14.7613
20.22,14.7666
20.24,14.772
20.26,14.7774
20.28,14.7827
20.3,14.7881
20.32,14.7934
20.34,14.7988
20.36,14.8042
20.38,14.8095
20.4,14.8149
20.42,14.8203
20.44,14.8256
20.46,14.831
20.48,14.8364
20.5,14.8417
20.52,14.8471
20.54,14.8525
20.56,14.8578
20.58,14.8632
20.6,14.8686
20.62,14.8739
20.64,14.8793
20.66,14.8846
20.68,14.89
20.7,14.8954
20.72,14.9007
20.74,14.9061
20.76,14.9115
20.78,14.9168
20.8,14.9222
20.82,14.9276
20.84,14.9329
20.86,14.9383
20.88,14.9437
20.9,14.949
20.92,14.9544
20.94,14.9597
20.96,14.9651
20.98,14.9705
21,14.9758
21.02,14.9812
21.04,14.9866
21.06,14.9919
21.08,14.9973
21.1,15.0027
21.12,15.008
21.14,15.0134
21.16,15.0188
21.18,15.0241
21.2,15.0295
21.22,15.0348
21.24,15.0402
21.26,15.0456
21.28,15.0509
21.3,15.0563
21.32,15.0617
21.34,15.067
21.36,15.0724
21.38,15.0778
21.4,15.0831
21.42,15.0885
21.44,15.0939
21.46,15.0992
21.48,15.1046
21.5,15.11
21.52,15.1153
21.54,15.1207
21.56,15.126
21.58,15.1314
21.6,15.1368
21.62,15.1421
21.64,15.1475
21.66,15.1529
21.68,15.1582
21.7,15.1636
21.72,15.169
21.74,15.1743
21.76,15.1797
21.78,15.1851
